timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,n,dt,eps,bs,integrator,num_noise,num_boots,mlp_hidden,res_hidden,res_depth,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,2.5,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.744581937789917,0.08222571760416031,5.049337387084961,0.08413718640804291,0.8018338680267334,0.06710097938776016,-0.22300519049167633,0.08338910341262817,0.000825804949272424,0.0003540166071616113
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.8,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7304471731185913,0.013581065461039543,1.6309196949005127,0.018615154549479485,0.9420538544654846,0.01707279309630394,-0.05988842621445656,0.017623748630285263,0.01725819520652294,0.0058917333371937275
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.05,0.025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7208353281021118,0.0030684438534080982,0.21833249926567078,0.0022489349357783794,1.0007060766220093,0.0015122266486287117,0.0006817890098318458,0.001503254403360188,0.6853548884391785,0.023792270570993423
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.05,0.008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7182140350341797,0.003740379586815834,0.36655375361442566,0.0030554397962987423,0.9986474514007568,0.0020660413429141045,-0.0013115520123392344,0.002067835535854101,0.541959285736084,0.011775264516472816
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.125,0.00025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.4952590465545654,0.06736818701028824,33.67653274536133,0.13487331569194794,0.43517404794692993,0.03765429928898811,-0.834161102771759,0.08560241758823395,0.0007761777378618717,0.0003208519774489105
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.05,0.08,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7272950410842896,0.0029344558715820312,0.16888684034347534,0.001908295787870884,0.9975511431694031,0.0012519587762653828,-0.002480780938640237,0.0012597849126905203,0.7580477595329285,0.0035526901483535767
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.05,0.00025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.5032165050506592,0.016446717083454132,6.877699851989746,0.04220522567629814,0.7520761489868164,0.027218079194426537,-0.2861558794975281,0.035679303109645844,0.005242470186203718,0.003122702706605196
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.8,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.722818374633789,0.0026067986618727446,0.08255335688591003,0.0013075717724859715,0.9990817904472351,0.000875889032613486,-0.0009221817017532885,0.0009039228898473084,0.8645261526107788,0.0007494163583032787
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.08,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7328747510910034,0.008256997913122177,0.2598573863506317,0.0031903954222798347,1.0012977123260498,0.0026393961161375046,0.0013476249296218157,0.0026457845233380795,0.4527203142642975,0.1318962275981903
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.0025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7232601642608643,0.008546844124794006,0.5759539008140564,0.0051206559874117374,1.0024417638778687,0.0042877341620624065,0.002609684830531478,0.004158149939030409,0.22545258700847626,0.029406847432255745
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,2.5,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7211636304855347,0.0028249104507267475,0.2929535210132599,0.002589158248156309,1.0017356872558594,0.0016118432395160198,0.0017936209915205836,0.0015687724808230996,0.6636876463890076,0.004046782851219177
