timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,L,m2,lambda,dt,eps,bs,integrator,num_noise,n_kernel,n_kernel_bond,n_basis,n_basis_bond,num_boots,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err,susc_avg,susc_err
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,32,21,20,20,20,2000,-7.0245537757873535,0.11862965673208237,-15.91476821899414,0.009629050269722939,8901725.0,88038.8125,16.001684188842773,0.009798038750886917,0.835921585559845,0.009752823039889336,0.0259102750569582,0.0007509271381422877
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,32,21,20,20,20,2000,-8.428486824035645,0.126227468252182,-11.561447143554688,0.03932460397481918,435872.15625,53095.23828125,12.978211402893066,0.1180560514330864,0.04725388437509537,0.02710224874317646,0.02620629593729973,0.0007419631583616138
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,32,21,20,20,20,2000,-7.019423961639404,0.11798136681318283,-15.61847972869873,0.025397643446922302,8698054.0,196567.78125,15.977511405944824,0.022773748263716698,0.5013868808746338,0.021340643987059593,0.02538161538541317,0.0007147553260438144
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,32,21,20,20,20,2000,-7.109466552734375,0.11647595465183258,-15.788629531860352,0.02240494079887867,8809164.0,131742.453125,15.991416931152344,0.01493105199187994,0.7016610503196716,0.01261311024427414,0.02538377046585083,0.0007192472694441676
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,fp,32,21,20,20,20,2000,-7.134219646453857,0.12430816143751144,-15.849204063415527,0.01573321595788002,8857542.0,109507.7421875,15.996573448181152,0.012501013465225697,0.7686823010444641,0.010231592692434788,0.026669668033719063,0.000748925085645169
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,64,21,20,20,20,2000,-7.129286766052246,0.12126152962446213,-15.8905029296875,0.010019560344517231,8686274.0,83944.3046875,15.97677993774414,0.009729530662298203,0.8433016538619995,0.007768779527395964,0.025669587776064873,0.0007521472289226949
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,32,21,20,20,20,2000,-7.298919200897217,0.11512318253517151,-15.884014129638672,0.009818603284657001,8692136.0,88565.609375,15.977805137634277,0.009977009147405624,0.8341927528381348,0.005571762565523386,0.025363720953464508,0.0007187483715824783
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,fp,32,21,20,20,20,2000,-7.283380031585693,0.12228534370660782,-15.868897438049316,0.01158805750310421,8602119.0,87775.328125,15.966961860656738,0.01017761044204235,0.8264033794403076,0.009300475008785725,0.02616761438548565,0.0007339424919337034
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,fp,32,21,20,20,20,2000,-7.325118541717529,0.11488977074623108,-15.894137382507324,0.00955780316144228,8676841.0,79489.171875,15.976273536682129,0.009067199192941189,0.8586477637290955,0.005176807753741741,0.025785302743315697,0.0007217680686153471
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,64,21,20,20,20,2000,-7.253152370452881,0.11803621798753738,-15.899529457092285,0.011957786977291107,8835050.0,88081.8828125,15.994302749633789,0.009476839564740658,0.843784749507904,0.007869308814406395,0.02497955784201622,0.0007169958553276956
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,16,21,20,20,20,2000,-7.308809757232666,0.12203093618154526,-15.364805221557617,0.023467445746064186,8362465.5,267997.4375,15.937862396240234,0.03168392926454544,0.3352200388908386,0.020181337371468544,0.024340586736798286,0.0007042302167974412
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,8,21,20,20,20,2000,-6.977549076080322,0.12409301102161407,-14.878813743591309,0.032944586127996445,7481590.0,383108.90625,15.82612419128418,0.05118624493479729,0.166171133518219,0.025400258600711823,0.026668855920433998,0.0007441657944582403
